,Month,AveragePrice,Year,Region,TypeOrganic,TypeConventional,PriceRange
247,5,0.7,2016,Denver,1,0,v_cheap
248,4,0.7,2016,SouthCentral,0,1,v_cheap
249,2,0.7,2015,Houston,0,1,v_cheap
250,2,0.7,2017,CincinnatiDayton,0,1,v_cheap
251,2,0.7,2017,Portland,0,1,v_cheap
252,2,0.7,2017,Chicago,0,1,v_cheap
253,6,0.7,2016,Boise,0,1,v_cheap
254,6,0.7,2015,PhoenixTucson,0,1,cheap
255,4,0.7,2016,DallasFtWorth,0,1,v_cheap
256,5,0.7,2015,WestTexNewMexico,0,1,v_cheap
257,1,0.7,2017,DallasFtWorth,0,1,v_cheap
258,2,0.7,2018,SouthCentral,0,1,v_cheap
259,4,0.7,2017,PhoenixTucson,0,1,cheap
260,1,0.7,2017,DallasFtWorth,0,1,v_cheap
261,12,0.7,2017,PhoenixTucson,0,1,cheap
262,4,0.7,2016,Houston,0,1,v_cheap
263,2,0.7,2016,California,0,1,v_cheap
264,2,0.7,2017,DallasFtWorth,0,1,v_cheap
265,3,0.7,2017,Detroit,1,0,v_cheap
266,7,0.7,2015,PhoenixTucson,0,1,cheap
267,4,0.7,2015,WestTexNewMexico,0,1,v_cheap
268,3,0.7,2018,SouthCentral,0,1,v_cheap
269,12,0.7,2016,CincinnatiDayton,0,1,v_cheap
270,7,0.7,2017,Portland,0,1,v_cheap
271,5,0.7,2016,DallasFtWorth,0,1,v_cheap
272,6,0.7,2017,PhoenixTucson,0,1,cheap
273,9,0.71,2015,PhoenixTucson,0,1,cheap
274,5,0.71,2016,SouthCentral,0,1,v_cheap
275,5,0.71,2016,Columbus,0,1,v_cheap
276,12,0.71,2016,Houston,0,1,v_cheap
277,3,0.71,2016,Portland,0,1,v_cheap
278,11,0.71,2015,WestTexNewMexico,0,1,v_cheap
279,1,0.71,2016,PhoenixTucson,0,1,cheap
280,11,0.71,2015,DallasFtWorth,0,1,v_cheap
281,1,0.71,2017,CincinnatiDayton,0,1,v_cheap
282,1,0.71,2015,Houston,0,1,v_cheap
283,2,0.71,2016,Portland,0,1,v_cheap
284,5,0.71,2015,WestTexNewMexico,0,1,v_cheap
285,11,0.71,2015,PhoenixTucson,0,1,cheap
286,9,0.71,2015,PhoenixTucson,0,1,cheap
287,5,0.71,2016,DallasFtWorth,0,1,v_cheap
288,4,0.71,2016,SouthCentral,0,1,v_cheap
289,12,0.71,2015,WestTexNewMexico,0,1,v_cheap
290,3,0.71,2016,WestTexNewMexico,0,1,v_cheap
291,6,0.71,2015,WestTexNewMexico,0,1,v_cheap
292,3,0.71,2015,PhoenixTucson,0,1,cheap
293,2,0.71,2015,WestTexNewMexico,0,1,v_cheap
294,2,0.71,2016,DallasFtWorth,0,1,v_cheap
295,1,0.71,2018,Houston,0,1,v_cheap
296,2,0.71,2015,SouthCentral,0,1,v_cheap
297,3,0.71,2018,PhoenixTucson,0,1,cheap
298,12,0.71,2015,Boise,0,1,v_cheap
299,3,0.71,2018,Houston,0,1,v_cheap
300,5,0.71,2016,DallasFtWorth,0,1,v_cheap
301,4,0.72,2016,Houston,0,1,v_cheap
302,2,0.72,2015,Houston,0,1,v_cheap
303,3,0.72,2017,Boise,1,0,v_cheap
304,2,0.72,2015,WestTexNewMexico,0,1,v_cheap
305,4,0.72,2017,Houston,0,1,v_cheap
306,2,0.72,2018,PhoenixTucson,0,1,moderate
307,12,0.72,2016,Houston,0,1,v_cheap
308,12,0.72,2016,SouthCentral,0,1,v_cheap
309,3,0.72,2015,DallasFtWorth,0,1,v_cheap
310,2,0.72,2016,LosAngeles,0,1,v_cheap
311,2,0.72,2018,DallasFtWorth,0,1,v_cheap
312,3,0.72,2015,PhoenixTucson,0,1,moderate
313,2,0.72,2016,Portland,0,1,v_cheap
314,2,0.72,2017,LasVegas,0,1,v_cheap
315,4,0.72,2015,DallasFtWorth,0,1,v_cheap
316,11,0.72,2015,Houston,0,1,v_cheap
317,5,0.72,2016,SouthCentral,0,1,v_cheap
318,5,0.72,2016,SouthCentral,0,1,v_cheap
319,11,0.72,2016,PhoenixTucson,0,1,moderate
320,5,0.72,2016,DallasFtWorth,0,1,v_cheap
321,6,0.72,2015,Houston,0,1,v_cheap
322,1,0.72,2016,SanDiego,0,1,v_cheap
323,3,0.72,2017,Columbus,1,0,v_cheap
324,12,0.72,2017,PhoenixTucson,0,1,moderate
325,1,0.72,2016,Denver,0,1,v_cheap
326,9,0.72,2016,Houston,0,1,v_cheap
327,11,0.72,2017,PhoenixTucson,0,1,moderate
328,5,0.72,2015,Houston,0,1,v_cheap
329,3,0.72,2016,WestTexNewMexico,0,1,v_cheap
330,4,0.72,2016,Columbus,0,1,v_cheap
331,2,0.73,2017,DallasFtWorth,0,1,v_cheap
332,12,0.73,2016,WestTexNewMexico,0,1,v_cheap
333,1,0.73,2016,West,0,1,v_cheap
334,2,0.73,2017,GreatLakes,0,1,v_cheap
335,2,0.73,2015,SouthCentral,0,1,v_cheap
336,1,0.73,2017,Denver,1,0,v_cheap
337,1,0.73,2016,California,0,1,v_cheap
338,3,0.73,2015,WestTexNewMexico,0,1,v_cheap
339,1,0.73,2017,WestTexNewMexico,0,1,v_cheap
340,1,0.73,2017,DallasFtWorth,0,1,v_cheap
341,1,0.73,2017,PhoenixTucson,0,1,moderate
342,6,0.73,2015,DallasFtWorth,0,1,v_cheap
343,9,0.73,2016,Nashville,0,1,v_cheap
344,1,0.73,2017,Portland,0,1,v_cheap
345,2,0.73,2018,Columbus,0,1,v_cheap
346,4,0.73,2016,SanDiego,0,1,v_cheap
347,5,0.73,2016,SouthCentral,0,1,v_cheap
348,11,0.73,2015,Houston,0,1,v_cheap
349,4,0.73,2016,WestTexNewMexico,0,1,v_cheap
350,5,0.73,2016,WestTexNewMexico,0,1,v_cheap
351,12,0.73,2015,Houston,0,1,v_cheap
352,4,0.73,2016,SouthCentral,0,1,v_cheap
353,3,0.73,2016,Denver,0,1,v_cheap
354,2,0.73,2016,Denver,0,1,v_cheap
355,2,0.73,2015,Houston,0,1,v_cheap
356,6,0.73,2016,Detroit,1,0,v_cheap
357,3,0.73,2016,LosAngeles,0,1,v_cheap
358,2,0.73,2018,LosAngeles,0,1,v_cheap
359,4,0.73,2017,PhoenixTucson,0,1,moderate
360,12,0.73,2017,SanDiego,0,1,v_cheap
361,9,0.73,2016,WestTexNewMexico,0,1,v_cheap
362,3,0.73,2018,DallasFtWorth,0,1,v_cheap
363,12,0.73,2016,Houston,0,1,v_cheap
364,1,0.73,2017,Nashville,0,1,v_cheap
365,5,0.73,2015,DallasFtWorth,0,1,v_cheap
366,2,0.73,2016,WestTexNewMexico,0,1,v_cheap
367,12,0.73,2015,Portland,0,1,v_cheap
368,4,0.73,2016,WestTexNewMexico,0,1,v_cheap
369,12,0.74,2015,DallasFtWorth,0,1,v_cheap
370,1,0.74,2016,Houston,0,1,v_cheap
371,5,0.74,2015,SouthCentral,0,1,v_cheap
372,5,0.74,2015,Houston,0,1,v_cheap
373,3,0.74,2015,WestTexNewMexico,0,1,v_cheap
374,1,0.74,2015,DallasFtWorth,0,1,v_cheap
375,2,0.74,2016,LasVegas,0,1,v_cheap
376,3,0.74,2016,Denver,1,0,v_cheap
377,1,0.74,2016,WestTexNewMexico,0,1,v_cheap
378,5,0.74,2017,Denver,1,0,v_cheap
379,5,0.74,2016,WestTexNewMexico,0,1,v_cheap
380,7,0.74,2016,StLouis,0,1,v_cheap
381,4,0.74,2016,Denver,1,0,v_cheap
382,6,0.74,2015,Houston,0,1,v_cheap
383,3,0.74,2017,Houston,0,1,v_cheap
384,2,0.74,2017,Jacksonville,0,1,v_cheap
385,12,0.74,2015,LosAngeles,0,1,v_cheap
386,12,0.74,2015,Houston,0,1,v_cheap
387,2,0.74,2016,DallasFtWorth,0,1,v_cheap
388,3,0.74,2016,DallasFtWorth,0,1,v_cheap
389,1,0.74,2016,LosAngeles,0,1,v_cheap
390,5,0.74,2017,PhoenixTucson,0,1,moderate
391,1,0.74,2016,LosAngeles,0,1,v_cheap
392,2,0.74,2015,LosAngeles,0,1,v_cheap
393,12,0.74,2015,WestTexNewMexico,0,1,v_cheap
394,5,0.74,2015,WestTexNewMexico,0,1,v_cheap
395,8,0.74,2016,DallasFtWorth,0,1,v_cheap
396,9,0.74,2016,DallasFtWorth,0,1,v_cheap
397,1,0.74,2017,SanDiego,0,1,v_cheap
398,6,0.74,2015,WestTexNewMexico,0,1,v_cheap
399,8,0.74,2015,PhoenixTucson,0,1,moderate
400,2,0.74,2017,Columbus,1,0,v_cheap
401,7,0.74,2016,Boise,0,1,v_cheap
402,1,0.74,2017,SouthCentral,0,1,v_cheap
403,1,0.74,2017,SouthCentral,0,1,v_cheap
404,2,0.74,2018,DallasFtWorth,0,1,v_cheap
405,1,0.74,2017,WestTexNewMexico,0,1,v_cheap
406,8,0.74,2015,WestTexNewMexico,0,1,v_cheap
407,3,0.74,2017,Louisville,1,0,v_cheap
408,2,0.74,2016,Denver,0,1,v_cheap
409,4,0.74,2016,SouthCentral,0,1,v_cheap
410,11,0.74,2015,LosAngeles,0,1,v_cheap
411,3,0.74,2016,LosAngeles,0,1,v_cheap
412,6,0.74,2015,Houston,0,1,v_cheap
413,2,0.74,2017,Detroit,0,1,v_cheap
414,5,0.74,2017,Houston,0,1,v_cheap
415,2,0.74,2016,Boise,0,1,v_cheap
416,5,0.74,2015,WestTexNewMexico,0,1,v_cheap
417,4,0.74,2015,WestTexNewMexico,0,1,v_cheap
418,2,0.74,2016,Spokane,0,1,v_cheap
419,2,0.75,2017,SouthCentral,0,1,v_cheap
420,2,0.75,2018,WestTexNewMexico,0,1,v_cheap
421,3,0.75,2015,WestTexNewMexico,0,1,v_cheap
422,1,0.75,2017,WestTexNewMexico,0,1,v_cheap
423,12,0.75,2017,DallasFtWorth,0,1,v_cheap
424,12,0.75,2017,PhoenixTucson,0,1,moderate
425,2,0.75,2016,Seattle,0,1,v_cheap
426,12,0.75,2015,West,0,1,v_cheap
427,7,0.75,2017,PhoenixTucson,0,1,moderate
428,9,0.75,2016,Nashville,0,1,v_cheap
429,1,0.75,2016,Portland,0,1,v_cheap
430,5,0.75,2016,Southeast,0,1,v_cheap
431,6,0.75,2016,WestTexNewMexico,0,1,v_cheap
432,4,0.75,2017,PhoenixTucson,0,1,moderate
433,2,0.75,2017,Spokane,0,1,v_cheap
434,1,0.75,2017,Detroit,0,1,v_cheap
435,7,0.75,2016,Boise,0,1,v_cheap
436,6,0.75,2016,Atlanta,0,1,v_cheap
437,9,0.75,2015,WestTexNewMexico,0,1,v_cheap
438,4,0.75,2016,StLouis,1,0,v_cheap
439,6,0.75,2015,DallasFtWorth,0,1,v_cheap
440,3,0.75,2015,LosAngeles,0,1,v_cheap
441,5,0.75,2015,WestTexNewMexico,0,1,v_cheap
442,3,0.75,2016,Houston,0,1,cheap
443,12,0.75,2017,PhoenixTucson,0,1,moderate
444,5,0.75,2016,West,0,1,v_cheap
445,6,0.75,2015,SouthCentral,0,1,v_cheap
446,2,0.75,2017,Louisville,0,1,v_cheap
447,5,0.75,2016,StLouis,0,1,v_cheap
448,5,0.75,2016,Portland,0,1,v_cheap
449,12,0.75,2015,Houston,0,1,cheap
450,11,0.75,2015,PhoenixTucson,0,1,moderate
451,3,0.75,2015,DallasFtWorth,0,1,v_cheap
452,1,0.75,2015,WestTexNewMexico,0,1,v_cheap
453,5,0.75,2016,Tampa,0,1,v_cheap
454,5,0.75,2015,DallasFtWorth,0,1,v_cheap
455,11,0.75,2015,Houston,0,1,cheap
456,3,0.75,2017,Nashville,0,1,v_cheap
457,4,0.75,2017,WestTexNewMexico,0,1,v_cheap
458,4,0.75,2016,LosAngeles,0,1,v_cheap
459,12,0.75,2016,LosAngeles,0,1,v_cheap
460,5,0.75,2016,California,0,1,v_cheap
461,5,0.75,2016,Portland,0,1,v_cheap
462,12,0.76,2016,DallasFtWorth,0,1,v_cheap
463,8,0.76,2016,Boise,0,1,v_cheap
464,7,0.76,2015,WestTexNewMexico,0,1,v_cheap
465,4,0.76,2015,WestTexNewMexico,0,1,v_cheap
466,2,0.76,2017,Seattle,0,1,v_cheap
467,3,0.76,2016,SanDiego,0,1,v_cheap
468,2,0.76,2017,West,0,1,v_cheap
469,5,0.76,2016,Portland,0,1,v_cheap
470,4,0.76,2016,LosAngeles,0,1,v_cheap
471,12,0.76,2015,Denver,0,1,v_cheap
472,4,0.76,2015,WestTexNewMexico,0,1,v_cheap
473,12,0.76,2015,SouthCentral,0,1,v_cheap
474,7,0.76,2016,StLouis,0,1,v_cheap
475,6,0.76,2016,LosAngeles,0,1,v_cheap
476,2,0.76,2018,CincinnatiDayton,0,1,v_cheap
477,12,0.76,2016,WestTexNewMexico,0,1,v_cheap
478,5,0.76,2016,LosAngeles,0,1,v_cheap
479,2,0.76,2017,Spokane,0,1,v_cheap
480,11,0.76,2015,WestTexNewMexico,0,1,v_cheap
481,5,0.76,2016,Orlando,0,1,v_cheap
482,1,0.76,2017,WestTexNewMexico,0,1,v_cheap
483,1,0.76,2017,SouthCentral,0,1,v_cheap
484,5,0.76,2015,Houston,0,1,cheap
485,2,0.76,2018,NewOrleansMobile,0,1,v_cheap
486,2,0.76,2018,SouthCentral,0,1,v_cheap
487,5,0.76,2016,SouthCarolina,0,1,v_cheap
488,1,0.76,2015,DallasFtWorth,0,1,v_cheap
489,3,0.76,2016,DallasFtWorth,0,1,v_cheap
490,2,0.76,2018,WestTexNewMexico,0,1,v_cheap
491,3,0.76,2016,DallasFtWorth,0,1,v_cheap
492,1,0.76,2017,California,0,1,v_cheap
493,1,0.76,2017,California,0,1,v_cheap
494,12,0.76,2016,SouthCentral,0,1,v_cheap
495,12,0.76,2016,SouthCentral,0,1,v_cheap
496,2,0.76,2016,LosAngeles,0,1,v_cheap
497,3,0.76,2017,Portland,1,0,v_cheap
498,2,0.76,2016,Atlanta,0,1,v_cheap
499,2,0.76,2016,TotalUS,0,1,v_cheap
