Unnamed: 0,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
26,2017-07-02,1.56,98282.07,2808.47,79968.24,741.19,14764.17,6549.32,6584.85,1630.0,conventional,2017,Albany
27,2017-06-25,1.53,89303.04,2224.67,74282.58,129.85,12665.94,4686.34,6874.6,1105.0,conventional,2017,Albany
28,2017-06-18,1.58,97079.34,2454.01,82154.43,723.07,11747.83,3875.12,6697.71,1175.0,conventional,2017,Albany
29,2017-06-11,1.65,91949.26,1989.84,76736.87,364.68,12857.87,2704.43,8235.11,1918.33,conventional,2017,Albany
30,2017-06-04,1.7,84842.97,1923.04,72573.09,100.07,10246.77,2834.14,6342.63,1070.0,conventional,2017,Albany
31,2017-05-28,1.8,121869.11,2345.65,106690.16,105.74,12727.56,6141.75,6029.14,556.67,conventional,2017,Albany
32,2017-05-21,1.38,100256.85,2307.02,86817.51,334.01,10798.31,5338.56,5203.08,256.67,conventional,2017,Albany
33,2017-05-14,1.77,96750.67,2804.86,80469.48,196.39,13279.94,5727.85,7552.09,0.0,conventional,2017,Albany
34,2017-05-07,1.47,127193.26,2473.53,87791.87,121.07,36806.79,9600.81,27205.98,0.0,conventional,2017,Albany
35,2017-04-30,1.13,124926.39,2573.11,99451.52,81.89,22819.87,10547.36,12272.51,0.0,conventional,2017,Albany
36,2017-04-23,1.34,89327.1,4437.5,61512.84,84.45,23292.31,8236.01,15056.3,0.0,conventional,2017,Albany
37,2017-04-16,1.62,90487.05,4362.98,71957.73,161.28,14005.06,7179.98,6825.08,0.0,conventional,2017,Albany
38,2017-04-09,1.54,105436.11,3708.13,87775.86,44.28,13907.84,7121.61,6786.23,0.0,conventional,2017,Albany
39,2017-04-02,1.62,92621.11,4530.8,68015.37,97.26,19977.68,6332.44,13645.24,0.0,conventional,2017,Albany
40,2017-03-26,1.16,122951.65,3184.29,100854.22,70.17,18842.97,7252.7,11590.27,0.0,conventional,2017,Albany
41,2017-03-19,1.6,92774.61,2332.96,72033.15,140.57,18267.93,8302.27,9965.66,0.0,conventional,2017,Albany
42,2017-03-12,1.54,95713.29,2046.8,67162.63,89.32,26414.54,10990.08,15424.46,0.0,conventional,2017,Albany
43,2017-03-05,1.18,107354.25,3123.26,90784.49,57.86,13388.64,13277.29,111.35,0.0,conventional,2017,Albany
44,2017-02-26,1.4,88371.09,3190.28,73959.76,71.2,11149.85,10910.4,239.45,0.0,conventional,2017,Albany
45,2017-02-19,1.67,95475.07,2702.57,81691.54,125.48,10955.48,10784.07,171.41,0.0,conventional,2017,Albany
46,2017-02-12,1.42,97215.94,3808.43,81070.44,175.6,12161.47,11650.91,510.56,0.0,conventional,2017,Albany
47,2017-02-05,1.49,183549.08,5666.6,165530.03,2119.02,10233.43,10047.32,186.11,0.0,conventional,2017,Albany
48,2017-01-29,1.31,95424.59,3844.62,78315.15,484.56,12780.26,12393.84,382.06,4.36,conventional,2017,Albany
49,2017-01-22,1.59,128679.24,4119.94,111173.08,2191.71,11194.51,11060.19,125.5,8.82,conventional,2017,Albany
50,2017-01-15,1.55,88526.26,3327.65,71956.77,607.03,12634.81,12574.72,60.09,0.0,conventional,2017,Albany
51,2017-01-08,1.55,91728.18,3355.47,75641.23,56.91,12674.57,12606.67,67.9,0.0,conventional,2017,Albany
52,2017-01-01,1.47,129948.23,4845.77,117027.41,200.36,7874.69,7866.86,7.83,0.0,conventional,2017,Albany
0,2017-12-31,0.95,649352.59,341061.46,41818.27,961.18,265511.68,173990.02,88882.27,2639.39,conventional,2017,Atlanta
1,2017-12-24,1.11,444781.87,212413.82,30834.68,1112.56,200420.81,130079.34,66147.03,4194.44,conventional,2017,Atlanta
2,2017-12-17,1.0,484326.63,231133.4,33481.83,915.94,218795.46,153468.13,62336.11,2991.22,conventional,2017,Atlanta
3,2017-12-10,0.99,543619.28,274345.62,38433.88,1302.16,229537.62,158483.4,67567.68,3486.54,conventional,2017,Atlanta
4,2017-12-03,1.07,504933.0,263807.0,32457.0,1390.0,207280.0,137581.0,66640.0,3058.0,conventional,2017,Atlanta
5,2017-11-26,1.12,412213.0,211077.0,27773.0,903.0,172460.0,113141.0,55576.0,3743.0,conventional,2017,Atlanta
6,2017-11-19,1.13,453755.0,239860.0,31169.0,1109.0,181617.0,118386.0,61447.0,1784.0,conventional,2017,Atlanta
7,2017-11-12,1.11,518209.0,251896.0,31719.0,1398.0,233196.0,154898.0,75134.0,3164.0,conventional,2017,Atlanta
8,2017-11-05,1.08,567572.7,275749.63,32494.72,1124.72,258203.63,189677.82,66802.08,1723.73,conventional,2017,Atlanta
9,2017-10-29,1.28,493921.1,256988.66,36334.71,1083.81,199513.92,131656.43,66215.82,1641.67,conventional,2017,Atlanta
10,2017-10-22,1.49,406008.95,219172.21,35958.88,894.35,149983.51,95710.09,54265.29,8.13,conventional,2017,Atlanta
11,2017-10-15,1.64,406111.3,197442.9,34760.61,148.61,173759.18,110652.91,63067.0,39.27,conventional,2017,Atlanta
12,2017-10-08,1.6,411520.44,213442.97,32020.48,51.1,166005.89,100702.03,65197.74,106.12,conventional,2017,Atlanta
13,2017-10-01,1.55,421235.13,222683.91,45065.96,366.89,153118.37,101913.35,51196.55,8.47,conventional,2017,Atlanta
14,2017-09-24,1.5,403780.43,222498.3,45024.88,34.48,136222.77,88241.47,47954.41,26.89,conventional,2017,Atlanta
15,2017-09-17,1.59,392935.2,204374.88,47135.66,92.68,141331.98,90750.39,50425.52,156.07,conventional,2017,Atlanta
16,2017-09-10,1.54,466988.83,241057.35,47619.22,111.21,178201.05,116857.39,58868.48,2475.18,conventional,2017,Atlanta
17,2017-09-03,1.53,433455.08,235645.56,47493.42,121.59,150194.51,92866.15,54225.03,3103.33,conventional,2017,Atlanta
18,2017-08-27,1.49,458036.12,230031.71,48132.94,99.72,179771.75,116586.74,56679.85,6505.16,conventional,2017,Atlanta
19,2017-08-20,1.43,475921.53,230252.9,49199.54,27.54,196441.55,132374.71,62509.83,1557.01,conventional,2017,Atlanta
20,2017-08-13,1.37,534058.7,251178.4,62180.62,64.99,220634.69,148972.21,66092.48,5570.0,conventional,2017,Atlanta
21,2017-08-06,1.36,518140.33,252436.49,60584.7,69.99,205049.15,137139.1,60271.16,7638.89,conventional,2017,Atlanta
22,2017-07-30,1.34,472013.29,247038.63,60149.97,87.14,164737.55,105247.83,53475.11,6014.61,conventional,2017,Atlanta
23,2017-07-23,1.24,518682.51,285745.92,65016.24,150.97,167769.38,115065.44,45903.96,6799.98,conventional,2017,Atlanta
24,2017-07-16,1.2,582068.66,301471.59,63898.41,100.9,216597.76,154627.41,55794.73,6175.62,conventional,2017,Atlanta
25,2017-07-09,1.19,507337.7,233475.62,57935.64,442.12,215484.32,138657.24,69372.08,7455.0,conventional,2017,Atlanta
26,2017-07-02,1.16,528297.88,248095.78,56275.22,109.99,223816.89,136027.87,77103.34,10685.68,conventional,2017,Atlanta
27,2017-06-25,1.12,501274.14,249204.48,46343.42,149.89,205576.35,102982.83,95431.48,7162.04,conventional,2017,Atlanta
28,2017-06-18,1.2,492836.43,269328.71,49177.93,145.33,174184.46,94081.93,69712.53,10390.0,conventional,2017,Atlanta
29,2017-06-11,1.13,572838.59,318335.08,51385.66,101.41,203016.44,117300.66,78150.78,7565.0,conventional,2017,Atlanta
30,2017-06-04,1.08,710038.58,361265.98,55627.72,130.81,293014.07,174068.36,113270.71,5675.0,conventional,2017,Atlanta
31,2017-05-28,1.23,523993.71,273538.26,50236.52,354.25,199864.68,131064.06,57827.85,10972.77,conventional,2017,Atlanta
32,2017-05-21,1.2,526840.14,253792.75,49347.3,1650.7,222049.39,142077.31,70753.58,9218.5,conventional,2017,Atlanta
33,2017-05-14,1.18,568923.79,265556.05,49122.87,3491.08,250753.79,171471.84,69708.44,9573.51,conventional,2017,Atlanta
34,2017-05-07,1.1,726726.65,377225.07,72058.11,248.63,277194.84,148163.73,121006.86,8024.25,conventional,2017,Atlanta
35,2017-04-30,1.17,595539.82,304668.94,74961.15,240.51,215669.22,131644.64,75877.47,8147.11,conventional,2017,Atlanta
36,2017-04-23,1.21,530030.64,249318.38,55045.8,96.03,225570.43,138920.99,84101.48,2547.96,conventional,2017,Atlanta
37,2017-04-16,1.15,543227.58,237537.66,48907.53,143.78,256638.61,170945.65,80087.96,5605.0,conventional,2017,Atlanta
38,2017-04-09,1.23,465350.2,223170.21,48912.66,124.1,193143.23,107369.32,78978.91,6795.0,conventional,2017,Atlanta
39,2017-04-02,1.26,481933.74,226289.9,48770.22,139.77,206733.85,150546.84,52857.01,3330.0,conventional,2017,Atlanta
40,2017-03-26,1.32,443514.95,222457.31,50731.36,132.95,170193.33,108832.13,56386.2,4975.0,conventional,2017,Atlanta
41,2017-03-19,1.25,460990.81,215046.31,50085.35,147.93,195711.22,120153.69,72091.97,3465.56,conventional,2017,Atlanta
42,2017-03-12,1.21,469277.94,217624.69,48169.84,97.76,203385.65,126155.12,75894.14,1336.39,conventional,2017,Atlanta
43,2017-03-05,1.08,511362.62,237307.08,52012.07,62.73,221980.74,143650.82,77624.92,705.0,conventional,2017,Atlanta
44,2017-02-26,0.85,631507.77,302620.37,53782.78,96.57,275008.05,222151.21,50371.84,2485.0,conventional,2017,Atlanta
45,2017-02-19,0.86,563018.6,279494.45,52644.02,133.35,230746.78,171819.03,55459.69,3468.06,conventional,2017,Atlanta
46,2017-02-12,0.79,666871.06,355571.08,77241.13,325.51,233733.34,176286.09,56911.14,536.11,conventional,2017,Atlanta
47,2017-02-05,0.83,888094.87,442152.5,167181.75,412.85,278347.77,180392.3,97837.41,118.06,conventional,2017,Atlanta
48,2017-01-29,0.95,627695.79,285147.95,86150.35,219.79,256177.7,177033.34,79144.36,0.0,conventional,2017,Atlanta
49,2017-01-22,0.84,755472.09,320378.0,135920.57,179.13,298994.39,177899.15,121095.24,0.0,conventional,2017,Atlanta
50,2017-01-15,0.99,557377.82,249159.52,86964.23,169.63,221084.44,145333.47,75750.97,0.0,conventional,2017,Atlanta
51,2017-01-08,0.98,601546.19,279265.77,77758.24,319.36,244202.82,172510.89,71691.93,0.0,conventional,2017,Atlanta
52,2017-01-01,0.93,547565.88,224073.54,118926.37,337.48,204228.49,111599.58,92628.91,0.0,conventional,2017,Atlanta
0,2017-12-31,1.15,849487.62,66628.66,519460.2,4920.46,258478.3,245665.84,12812.46,0.0,conventional,2017,BaltimoreWashington
1,2017-12-24,1.41,624268.68,66338.96,363593.22,2679.6,191656.9,184571.16,7085.74,0.0,conventional,2017,BaltimoreWashington
2,2017-12-17,1.44,628735.17,67126.05,369810.83,2933.76,188864.53,177981.17,10883.36,0.0,conventional,2017,BaltimoreWashington
3,2017-12-10,1.13,940850.93,103332.38,546809.87,3979.72,286728.96,263946.3,22782.66,0.0,conventional,2017,BaltimoreWashington
4,2017-12-03,1.43,658939.0,69819.0,407522.0,3789.0,177809.0,173143.0,4666.0,0.0,conventional,2017,BaltimoreWashington
5,2017-11-26,1.43,629719.0,59916.0,377227.0,3440.0,189136.0,157579.0,31556.0,0.0,conventional,2017,BaltimoreWashington
6,2017-11-19,1.45,644740.0,64122.0,365922.0,3724.0,210972.0,167489.0,43483.0,0.0,conventional,2017,BaltimoreWashington
7,2017-11-12,1.49,658693.0,78052.0,387453.0,3925.0,189263.0,178913.0,10350.0,0.0,conventional,2017,BaltimoreWashington
8,2017-11-05,1.41,736468.07,93808.96,458177.74,4062.15,180419.22,173551.97,6867.25,0.0,conventional,2017,BaltimoreWashington
9,2017-10-29,1.55,682236.82,62566.85,434269.43,4193.34,181207.2,179693.45,1510.42,3.33,conventional,2017,BaltimoreWashington
10,2017-10-22,1.6,672066.53,60120.62,418176.99,4523.13,189245.79,184656.12,4545.23,44.44,conventional,2017,BaltimoreWashington
11,2017-10-15,1.66,667770.44,57542.76,426158.13,4901.97,179167.58,166892.17,12272.08,3.33,conventional,2017,BaltimoreWashington
12,2017-10-08,1.71,598836.97,58351.0,380897.88,4554.55,155033.54,147300.36,7733.18,0.0,conventional,2017,BaltimoreWashington
13,2017-10-01,1.59,705451.5,57840.63,461605.2,4777.48,181228.19,167895.87,13332.32,0.0,conventional,2017,BaltimoreWashington
14,2017-09-24,1.59,676498.82,58682.06,451995.87,4487.7,161333.19,158072.68,3260.51,0.0,conventional,2017,BaltimoreWashington
15,2017-09-17,1.58,664501.74,55766.21,443692.78,4745.57,160297.18,158757.44,1466.41,73.33,conventional,2017,BaltimoreWashington
16,2017-09-10,1.57,660103.83,52853.34,424593.63,5141.78,177515.08,169534.25,3197.5,4783.33,conventional,2017,BaltimoreWashington
17,2017-09-03,1.62,671504.54,58996.88,435940.98,5348.28,171218.4,168300.59,547.81,2370.0,conventional,2017,BaltimoreWashington
18,2017-08-27,1.66,653598.86,51628.46,402657.24,5171.88,194141.28,192627.66,800.29,713.33,conventional,2017,BaltimoreWashington
19,2017-08-20,1.57,691636.14,58935.48,417107.93,5204.71,210388.02,198850.69,1721.77,9815.56,conventional,2017,BaltimoreWashington
20,2017-08-13,1.48,697320.96,61461.48,431018.65,5629.49,199211.34,186157.57,8884.88,4168.89,conventional,2017,BaltimoreWashington
21,2017-08-06,1.47,695848.77,60785.37,440986.27,5324.79,188752.34,182988.33,1830.67,3933.34,conventional,2017,BaltimoreWashington
22,2017-07-30,1.47,655426.21,57622.28,399898.3,5352.26,192553.37,187554.78,1284.15,3714.44,conventional,2017,BaltimoreWashington
23,2017-07-23,1.48,692872.87,65421.16,435763.72,5663.76,186024.23,181105.06,1046.95,3872.22,conventional,2017,BaltimoreWashington
24,2017-07-16,1.48,670476.49,64407.19,415327.9,5640.71,185100.69,177112.27,886.2,7102.22,conventional,2017,BaltimoreWashington
25,2017-07-09,1.64,701869.5,64096.37,448758.2,6202.11,182812.82,170309.91,3724.85,8778.06,conventional,2017,BaltimoreWashington
26,2017-07-02,1.6,672614.37,57584.22,397714.06,6602.84,210713.25,182308.65,14659.6,13745.0,conventional,2017,BaltimoreWashington
27,2017-06-25,1.65,693972.27,57367.81,446948.93,6496.32,183159.21,167326.54,7351.56,8481.11,conventional,2017,BaltimoreWashington
28,2017-06-18,1.67,713471.14,62875.95,462835.5,6444.29,181315.4,169245.63,2474.77,9595.0,conventional,2017,BaltimoreWashington
29,2017-06-11,1.65,744158.66,65666.0,475095.67,7177.12,196219.87,184500.54,4298.5,7420.83,conventional,2017,BaltimoreWashington
30,2017-06-04,1.8,757909.72,62567.13,482039.31,7375.87,205927.41,201471.9,2167.18,2288.33,conventional,2017,BaltimoreWashington
31,2017-05-28,1.75,779183.52,66151.19,477777.76,7002.93,228251.64,221418.94,2459.09,4373.61,conventional,2017,BaltimoreWashington
32,2017-05-21,1.67,750139.67,70765.6,467149.29,7223.03,205001.75,202535.27,2203.43,263.05,conventional,2017,BaltimoreWashington
33,2017-05-14,1.59,731952.61,67663.32,394707.17,6178.07,263404.05,259582.13,2476.09,1345.83,conventional,2017,BaltimoreWashington
34,2017-05-07,1.37,1097981.24,75658.43,722001.76,10048.95,290272.1,282860.48,6800.51,611.11,conventional,2017,BaltimoreWashington
35,2017-04-30,1.69,761924.71,74466.51,471825.66,7668.11,207964.43,202998.95,4607.0,358.48,conventional,2017,BaltimoreWashington
36,2017-04-23,1.67,749186.76,69674.09,458300.03,7322.93,213889.71,197171.14,16072.74,645.83,conventional,2017,BaltimoreWashington
37,2017-04-16,1.7,717940.19,67839.51,439898.36,6834.65,203367.67,182834.46,20215.15,318.06,conventional,2017,BaltimoreWashington
38,2017-04-09,1.64,738255.19,71187.86,438985.9,6568.37,221513.06,218334.47,2510.53,668.06,conventional,2017,BaltimoreWashington
39,2017-04-02,1.5,800801.84,82571.71,493953.33,7301.92,216974.88,213697.33,1724.22,1553.33,conventional,2017,BaltimoreWashington
40,2017-03-26,1.6,739376.32,70467.54,462479.21,7285.09,199144.48,196644.22,1950.26,550.0,conventional,2017,BaltimoreWashington
41,2017-03-19,1.58,738956.53,70368.43,463108.0,6761.79,198718.31,179560.94,18501.81,655.56,conventional,2017,BaltimoreWashington
42,2017-03-12,1.6,763783.58,72820.1,476272.3,9389.51,205301.67,202870.46,2051.49,379.72,conventional,2017,BaltimoreWashington
43,2017-03-05,1.33,880326.29,84608.63,591422.21,12152.67,192142.78,190684.63,1458.15,0.0,conventional,2017,BaltimoreWashington
44,2017-02-26,1.48,814376.97,82179.16,531502.16,9921.32,190774.33,185955.28,4349.61,469.44,conventional,2017,BaltimoreWashington
45,2017-02-19,1.38,721257.38,96158.54,434568.32,9538.66,180991.86,169659.38,10733.87,598.61,conventional,2017,BaltimoreWashington
46,2017-02-12,1.24,925574.66,190311.92,538660.08,8822.74,187779.92,166227.16,19425.37,2127.39,conventional,2017,BaltimoreWashington
47,2017-02-05,1.09,1170444.52,174325.38,770463.22,29352.66,196303.26,187362.83,6286.24,2654.19,conventional,2017,BaltimoreWashington
48,2017-01-29,1.46,781538.81,81883.91,489023.96,10828.08,199802.86,193910.98,2724.14,3167.74,conventional,2017,BaltimoreWashington
49,2017-01-22,1.42,826941.93,81908.85,528125.52,22836.9,194070.66,187903.12,5693.97,473.57,conventional,2017,BaltimoreWashington
50,2017-01-15,1.48,749510.72,76382.33,472453.49,10119.64,190555.26,188395.17,2152.31,7.78,conventional,2017,BaltimoreWashington
51,2017-01-08,1.14,1029279.83,83249.92,750033.84,9793.59,186202.48,183395.1,2281.83,525.55,conventional,2017,BaltimoreWashington
52,2017-01-01,1.47,631760.81,54530.42,408952.26,14387.01,153891.12,151345.59,2542.41,3.12,conventional,2017,BaltimoreWashington
0,2017-12-31,1.13,79646.97,38196.44,1706.22,6263.0,33481.31,28764.84,4676.67,39.8,conventional,2017,Boise
1,2017-12-24,1.18,71004.42,39116.52,2348.06,4750.61,24789.23,18067.46,6638.51,83.26,conventional,2017,Boise
2,2017-12-17,1.29,65090.38,31969.34,1752.04,6655.62,24713.38,18837.14,5849.25,26.99,conventional,2017,Boise
3,2017-12-10,1.08,85496.29,53165.53,1936.25,4746.44,25648.07,19630.21,5945.47,72.39,conventional,2017,Boise
4,2017-12-03,1.14,86646.0,38662.0,1518.0,7094.0,39372.0,35079.0,4261.0,32.0,conventional,2017,Boise
5,2017-11-26,1.44,54681.0,28307.0,1707.0,5116.0,19551.0,14540.0,4914.0,96.0,conventional,2017,Boise
6,2017-11-19,1.42,60602.0,31177.0,2085.0,5660.0,21681.0,14002.0,7421.0,258.0,conventional,2017,Boise
7,2017-11-12,1.23,81827.0,37876.0,2047.0,4630.0,37274.0,32441.0,4811.0,21.0,conventional,2017,Boise
8,2017-11-05,1.21,81104.74,40651.49,1848.89,4629.02,33975.34,29560.96,4359.84,54.54,conventional,2017,Boise
9,2017-10-29,1.44,68520.83,33724.32,2180.13,4757.31,27859.07,22077.2,5728.7,53.17,conventional,2017,Boise
10,2017-10-22,1.43,83842.86,49926.45,2947.99,4055.92,26912.5,23454.01,3437.2,21.29,conventional,2017,Boise
11,2017-10-15,1.83,58062.2,30892.83,2910.65,5019.97,19238.75,13508.39,5695.44,34.92,conventional,2017,Boise
12,2017-10-08,1.89,56087.36,28952.89,2680.35,6108.0,18346.12,13229.38,4986.8,129.94,conventional,2017,Boise
13,2017-10-01,1.8,58602.78,33499.14,2015.33,5127.6,17960.71,12675.91,5242.7,42.1,conventional,2017,Boise
14,2017-09-24,1.78,56671.53,29755.87,1936.46,5658.57,19320.63,13553.63,5756.46,10.54,conventional,2017,Boise
15,2017-09-17,1.73,65336.49,35146.94,2637.92,5498.75,22052.88,15258.22,6770.69,23.97,conventional,2017,Boise
16,2017-09-10,1.76,66479.27,36441.41,2816.58,6160.18,21061.1,13679.37,7241.83,139.9,conventional,2017,Boise
17,2017-09-03,1.68,64354.65,30130.01,3171.02,6522.54,24531.08,18158.21,6319.14,53.73,conventional,2017,Boise
18,2017-08-27,1.3,93803.53,45399.28,2514.25,6033.78,39856.22,35502.76,4335.74,17.72,conventional,2017,Boise
19,2017-08-20,1.37,88030.54,42285.45,2840.46,7323.21,35581.42,29076.01,6495.06,10.35,conventional,2017,Boise
20,2017-08-13,1.51,70716.83,36652.25,3646.53,5544.33,24873.72,16648.41,8222.39,2.92,conventional,2017,Boise
21,2017-08-06,1.54,73710.09,37252.55,3802.7,7644.86,25009.98,16530.36,8380.66,98.96,conventional,2017,Boise
22,2017-07-30,1.54,72020.82,36727.08,3472.94,7264.42,24556.38,15602.2,8946.81,7.37,conventional,2017,Boise
23,2017-07-23,1.51,70783.8,36289.63,3129.5,7061.55,24303.12,15903.64,8360.3,39.18,conventional,2017,Boise
24,2017-07-16,1.49,72245.09,35748.28,3543.6,8951.08,24002.13,15218.69,8708.17,75.27,conventional,2017,Boise
25,2017-07-09,0.98,125786.14,47772.28,3135.19,7817.34,67061.33,66747.7,308.71,4.92,conventional,2017,Boise
26,2017-07-02,1.17,97408.49,41134.31,3402.67,8606.69,44264.82,44184.81,24.45,55.56,conventional,2017,Boise
27,2017-06-25,1.2,95071.28,41340.98,3573.62,7667.69,42488.99,42360.01,52.46,76.52,conventional,2017,Boise
28,2017-06-18,1.21,92906.33,40471.78,3263.11,8414.51,40756.93,40688.09,26.66,42.18,conventional,2017,Boise
29,2017-06-11,1.21,92547.42,40250.67,2998.49,8103.35,41194.91,41167.77,19.07,8.07,conventional,2017,Boise
30,2017-06-04,1.19,98460.27,42302.58,3757.52,7950.05,44450.12,44427.36,11.47,11.29,conventional,2017,Boise
31,2017-05-28,1.21,100415.9,40637.11,3548.36,10210.41,46020.02,45988.11,20.42,11.49,conventional,2017,Boise
32,2017-05-21,1.29,86532.91,35312.23,3430.4,10330.63,37459.65,37442.6,8.8,8.25,conventional,2017,Boise
33,2017-05-14,1.2,94466.25,38987.28,2778.88,9358.25,43341.84,41044.26,2292.62,4.96,conventional,2017,Boise
34,2017-05-07,1.09,121483.27,60550.46,3285.18,9701.89,47945.74,45880.43,2055.34,9.97,conventional,2017,Boise
35,2017-04-30,1.03,109119.0,41327.06,2195.12,9316.9,56279.92,56263.68,2.95,13.29,conventional,2017,Boise
36,2017-04-23,1.14,93656.08,41816.24,2688.06,9753.54,39398.24,39291.24,85.45,21.55,conventional,2017,Boise
37,2017-04-16,1.15,99410.94,43003.22,3555.37,9548.66,43303.69,43271.03,29.36,3.3,conventional,2017,Boise
38,2017-04-09,1.21,95508.38,39291.67,4115.55,10280.71,41820.45,41795.02,15.56,9.87,conventional,2017,Boise
39,2017-04-02,1.2,94905.4,41043.29,3616.58,9919.67,40325.86,40187.35,115.56,22.95,conventional,2017,Boise
40,2017-03-26,1.16,95292.56,43566.18,4140.76,8899.3,38686.32,38139.14,517.97,29.21,conventional,2017,Boise
41,2017-03-19,1.15,86727.42,33891.7,3887.21,9034.34,39914.17,39041.29,834.37,38.51,conventional,2017,Boise
42,2017-03-12,0.98,112776.1,33062.31,9415.52,9975.45,60322.82,58419.56,1777.12,126.14,conventional,2017,Boise
43,2017-03-05,1.11,93814.08,29234.27,5256.5,12115.21,47208.1,32638.67,14550.61,18.82,conventional,2017,Boise
44,2017-02-26,0.91,105023.56,31701.22,5199.76,11562.8,56559.78,38256.67,18258.12,44.99,conventional,2017,Boise
45,2017-02-19,0.94,107721.63,33444.06,7191.92,9936.27,57149.38,45026.93,11989.28,133.17,conventional,2017,Boise
46,2017-02-12,0.98,97785.46,41600.65,4101.11,9261.32,42822.38,41656.91,1141.72,23.75,conventional,2017,Boise
47,2017-02-05,0.9,136090.67,36808.59,11333.87,23346.13,64602.08,61439.09,3116.04,46.95,conventional,2017,Boise
48,2017-01-29,0.93,105132.82,35677.85,6532.78,9559.2,53362.99,36294.3,17043.36,25.33,conventional,2017,Boise
49,2017-01-22,1.01,88317.73,34251.49,5626.82,8313.98,40125.44,34932.06,5155.3,38.08,conventional,2017,Boise
50,2017-01-15,1.0,94156.43,36085.47,4773.66,10056.51,43240.79,38975.02,4039.78,225.99,conventional,2017,Boise
51,2017-01-08,1.02,103788.25,35596.88,7162.53,12143.68,48885.16,40257.37,8607.03,20.76,conventional,2017,Boise
52,2017-01-01,0.92,104510.11,27845.16,9408.92,11341.75,55914.28,53093.47,2793.61,27.2,conventional,2017,Boise
0,2017-12-31,1.4,419696.59,9622.52,325398.02,2061.91,82614.14,65868.23,16745.91,0.0,conventional,2017,Boston
1,2017-12-24,1.45,414147.94,10726.67,312860.91,1638.5,88921.86,75107.0,13814.86,0.0,conventional,2017,Boston
